Season,HomeTeam,HomeTeamPoints,AwayTeam,AwayTeamPoints,total_points,points_per_season,rank
2022/23,Man City,52.0,Man City,37.0,89.0,2.3421052631578947,1
2022/23,Man United,48.0,Man United,27.0,75.0,1.9736842105263157,3
2022/23,Newcastle,39.0,Newcastle,32.0,71.0,1.868421052631579,4
2022/23,Nott'm Forest,30.0,Nott'm Forest,8.0,38.0,1.0,16
2022/23,Southampton,11.0,Southampton,14.0,25.0,0.6578947368421053,20
2022/23,Tottenham,37.0,Tottenham,23.0,60.0,1.5789473684210527,8
2022/23,West Ham,28.0,West Ham,12.0,40.0,1.0526315789473684,14
2022/23,Wolves,30.0,Wolves,11.0,41.0,1.0789473684210527,13
2023/24,Arsenal,47.0,Arsenal,42.0,89.0,2.3421052631578947,2
2023/24,Aston Villa,40.0,Aston Villa,28.0,68.0,1.7894736842105263,4
2023/24,Bournemouth,27.0,Bournemouth,21.0,48.0,1.263157894736842,11
2023/24,Brentford,22.0,Brentford,17.0,39.0,1.0263157894736843,16
2023/24,Brighton,30.0,Brighton,18.0,48.0,1.263157894736842,11
2023/24,Burnley,10.0,Burnley,14.0,24.0,0.631578947368421,19
2023/24,Chelsea,37.0,Chelsea,26.0,63.0,1.6578947368421053,6
2023/24,Crystal Palace,28.0,Crystal Palace,21.0,49.0,1.2894736842105263,10
2023/24,Everton,28.0,Everton,20.0,48.0,1.263157894736842,11
2023/24,Fulham,29.0,Fulham,18.0,47.0,1.236842105263158,14
2023/24,Liverpool,48.0,Liverpool,34.0,82.0,2.1578947368421053,3
2023/24,Luton,16.0,Luton,10.0,26.0,0.6842105263157895,18
2023/24,Man City,47.0,Man City,44.0,91.0,2.3947368421052633,1
2023/24,Man United,33.0,Man United,27.0,60.0,1.5789473684210527,7
2023/24,Newcastle,40.0,Newcastle,20.0,60.0,1.5789473684210527,7
2023/24,Nott'm Forest,20.0,Nott'm Forest,16.0,36.0,0.9473684210526315,17
2023/24,Sheffield United,10.0,Sheffield United,6.0,16.0,0.42105263157894735,20
2023/24,Tottenham,39.0,Tottenham,27.0,66.0,1.736842105263158,5
2023/24,West Ham,29.0,West Ham,23.0,52.0,1.368421052631579,9
2023/24,Wolves,27.0,Wolves,19.0,46.0,1.2105263157894737,15
2024/25,Arsenal,39.0,Arsenal,35.0,74.0,1.9473684210526316,2
2024/25,Aston Villa,40.0,Aston Villa,26.0,66.0,1.736842105263158,5
2024/25,Bournemouth,28.0,Bournemouth,28.0,56.0,1.4736842105263157,9
2024/25,Brentford,31.0,Brentford,25.0,56.0,1.4736842105263157,9
2024/25,Brighton,32.0,Brighton,29.0,61.0,1.605263157894737,8
2024/25,Chelsea,41.0,Chelsea,28.0,69.0,1.8157894736842106,4
2024/25,Crystal Palace,25.0,Crystal Palace,28.0,53.0,1.394736842105263,12
2024/25,Everton,24.0,Everton,24.0,48.0,1.263157894736842,13
2024/25,Fulham,26.0,Fulham,28.0,54.0,1.4210526315789473,11
2024/25,Ipswich,7.0,Ipswich,15.0,22.0,0.5789473684210527,19
2024/25,Leicester,15.0,Leicester,10.0,25.0,0.6578947368421053,18
2024/25,Liverpool,46.0,Liverpool,38.0,84.0,2.210526315789474,1
2024/25,Man City,42.0,Man City,29.0,71.0,1.868421052631579,3
2024/25,Man United,24.0,Man United,18.0,42.0,1.105263157894737,15
2024/25,Newcastle,38.0,Newcastle,28.0,66.0,1.736842105263158,5
2024/25,Nott'm Forest,32.0,Nott'm Forest,33.0,65.0,1.7105263157894737,7
2024/25,Southampton,6.0,Southampton,6.0,12.0,0.3157894736842105,20
2024/25,Tottenham,21.0,Tottenham,17.0,38.0,1.0,17
2024/25,West Ham,20.0,West Ham,23.0,43.0,1.131578947368421,14
2024/25,Wolves,21.0,Wolves,21.0,42.0,1.105263157894737,15
